,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Number of views last 7 days,EUR Price,Country1,City1,Type_split,Fuel,Price_Category
81,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,189,7500,France , CÃ´te d'Azur ,Used boat,Unleaded,Low-priced
82,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,131,7500,France ," Saint Quay Portrieux, France",Used boat,Unleaded,Low-priced
83,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,490,7500,Germany , Baden-WÃ¼rttemberg ,Used boat,Unleaded,Low-priced
86,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,280,9588,Switzerland , Lake Constance ,Used boat,Unleaded,Low-priced
89,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,873,9450.3,Switzerland , Lake of Zurich ,new boat on order,Unleaded,Low-priced
90,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,258,9384,Switzerland , 8881 Tscherlach,Used boat,Unleaded,Low-priced
94,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,165,8500,Italy , Lombardia - Trentino Alto Adige ,Used boat,Unleaded,Low-priced
95,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,78,8500,France ," Chalon-sur-SaÃ´ne, France",Used boat,Unleaded,Low-priced
96,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,116,8500,France , 29200 BREST,Used boat,Unleaded,Low-priced
97,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,250,8500,Germany , Kelheim,Used boat,Unleaded,Low-priced
101,Trawler,Gouwerok power boats,Used boat,1980,8.5,3,Steel,183,9750,Netherlands , Sneek,Used boat,Unleaded,Low-priced
102,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,465,10710,Switzerland , Lago Maggiore ,Used boat,Unleaded,Low-priced
106,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6,2.3,GRP,418,10608,Switzerland , Diessenhofen ,Used boat,Unleaded,Low-priced
107,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,185,9599,Germany , Verkaufshafen Brandenburg-Plaue,Used boat,Unleaded,Low-priced
108,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,64,9575,Germany , Grevenbroich,new boat from stock,Unleaded,Low-priced
110,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2,GRP,91,9553,Netherlands , Lemmer,new boat from stock,Unleaded,Low-priced
111,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,138,9500,Netherlands , In verkoophaven,Used boat,Unleaded,Low-priced
112,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,184,9500,Italy , Lombardia - Trentino Alto Adige ,new boat from stock,Gas,Low-priced
113,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,162,9500,Germany , Brandenburg ,Used boat,Diesel,Low-priced
116,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,256,11220,Switzerland , Luganersee ,Used boat,Unleaded,Low-priced
117,Pontoon Boat,Mndli power boats,Used boat,2006,7,1.9,Wood,230,11220,Switzerland , Beringen,Used boat,Unleaded,Low-priced
118,Fishing Boat,Mndli power boats,"Used boat,Unleaded",2006,6,1.6,GRP,182,11220,Switzerland , Rhein,Used boat,Unleaded,Low-priced
120,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,115,10115,Germany , Wesel,new boat from stock,Unleaded,Low-priced
121,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,159,11118,Switzerland , Zugersee ,new boat on order,Unleaded,Low-priced
123,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,585,10000,Italy , Toscana ,Used boat,Unleaded,Low-priced
124,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,185,10000,Italy,Unknown,Used boat,Unleaded,Low-priced
127,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12,3,Steel,182,10000,Italy , Lombardia - Trentino Alto Adige ,Used boat,Diesel,Low-priced
128,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,900,10000,Germany , Brandenburg ,Used boat,Diesel,Low-priced
129,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,783,10000,Italy , Lombardia - Trentino Alto Adige ,Used boat,Unleaded,Low-priced
130,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,175,10000,France ," CAP D'AGDE, CAP D'AGDE",Used boat,Unleaded,Low-priced
131,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,207,10000,France ," CAP D'AGDE, CAP D'AGDE",Used boat,Unleaded,Low-priced
